,city,lat,long,temp(F),humidity(%),cloudiness(%),wind_speed
0,gwanda,-20.9415,29.0037,75.92,60,64,12.21
1,jamestown,-33.2075,138.6035,43.7,82,0,2.15
2,rikitea,-23.1203,-134.9692,77.27,100,76,14.67
3,sao joao da barra,-21.6403,-41.0512,91.4,55,40,13.87
4,punta arenas,-53.1627,-70.9081,48.11,61,40,48.32
5,amboasary,-25.0377,46.3841,78.8,83,20,11.41
6,hermanus,-34.4176,19.2361,63.55,81,0,3.0
7,victoria,5.2785,115.2423,82.18,83,75,1.12
8,yellowknife,62.4541,-114.3774,17.55,57,90,14.99
9,manicore,-5.8092,-61.3003,84.29,77,80,3.04
10,hamilton,43.2552,-79.8683,54.3,66,90,3.36
11,ushuaia,-54.807,-68.3074,41.0,65,90,24.16
12,mataura,-46.1928,168.8643,24.17,73,0,2.93
13,sirsilla,18.3899,78.8104,77.99,43,0,6.4
14,kongsvinger,60.1867,12.005,40.15,75,0,12.75
15,cayenne,4.9371,-52.3259,82.4,74,75,16.11
16,arinos,-15.9173,-46.1062,80.33,87,64,3.94
17,gobabis,-22.4496,18.9725,72.59,27,8,8.3
18,busselton,-33.6445,115.3489,49.01,56,76,10.42
19,champerico,16.3758,-93.5989,93.2,34,40,11.41
20,moengo,5.6196,-54.4032,84.92,60,92,5.5
21,bredasdorp,-34.5331,20.0428,63.66,82,0,8.05
22,saint george,39.4548,22.34,54.45,66,75,5.82
23,chabahar,25.2933,60.6471,80.78,83,0,10.65
24,avarua,-21.2078,-159.775,78.8,69,48,4.7
25,georgetown,6.8026,-58.1629,85.19,74,40,18.34
26,comodoro rivadavia,-45.8654,-67.4808,71.6,53,20,4.7
27,longyearbyen,78.2198,15.6349,21.2,57,40,20.8
28,sisimiut,66.9395,-53.6735,34.34,76,0,5.61
29,kodiak,39.9519,-94.7572,73.69,20,1,17.22
30,ayagoz,47.9649,80.4301,32.99,73,0,10.2
31,matara,-13.7417,-72.8996,57.2,50,0,2.37
32,barrow,-38.3131,-60.2291,75.74,41,0,15.79
33,vaini,15.336,74.4926,71.24,76,0,2.71
34,cape town,-33.929,18.4174,64.51,82,0,10.29
35,eureka,40.8021,-124.1637,57.42,63,90,10.29
36,kruisfontein,-34.0034,24.7314,65.48,80,0,15.46
37,port alfred,-33.5906,26.891,63.0,87,8,1.01
38,qaanaaq,77.484,-69.3633,10.49,84,68,11.43
39,upernavik,72.7868,-56.1549,32.99,81,0,16.69
40,dingle,11.0001,122.6718,76.28,93,24,8.3
41,ribeira grande,38.5167,-28.7001,62.6,82,75,24.16
42,saint-philippe,45.3584,-73.4791,43.52,70,40,18.34
43,saldanha,41.4184,-6.5524,44.42,75,92,11.21
44,las palmas,-6.5312,-76.3455,62.6,290,75,3.36
45,sao jose da coroa grande,-8.8978,-35.1478,85.37,75,64,11.1
46,sheridan,39.6469,-105.0251,65.8,22,20,4.7
47,kayerkan,69.3497,87.7602,20.3,88,80,8.63
48,mafeteng,-29.8225,27.2388,53.69,95,48,2.71
49,gao,16.2788,-0.0413,97.97,17,20,13.67
50,ambilobe,-13.1945,49.05,76.1,81,0,8.19
51,bandarbeyla,9.4942,50.8122,81.41,100,0,5.5
52,mattru,7.6244,-11.8333,84.29,80,80,5.61
53,ilulissat,69.2167,-51.1,39.2,44,75,23.04
54,birao,10.2962,22.781,84.74,16,0,7.85
55,mufulira,-12.5513,28.2409,67.37,79,44,3.15
56,kapaa,22.0752,-159.319,73.71,73,1,4.7
57,provideniya,64.4238,-173.2276,11.75,100,56,7.74
58,bonthe,7.5273,-12.502,85.91,72,88,5.84
59,wukari,7.8705,9.7776,93.2,41,64,10.76
