,zipcode,StateName,2018-12,starbucks_count,target_count,fastfoodstores
0,15237,Pennsylvania,230100.0,6.0,3.0,1.0
1,28277,North Carolina,325600.0,10.0,2.0,
2,94538,California,919700.0,10.0,2.0,2.0
3,93003,California,555200.0,10.0,2.0,1.0
4,60657,Illinois,429700.0,9.0,2.0,
5,95123,California,883200.0,9.0,2.0,1.0
6,92691,California,651400.0,9.0,2.0,1.0
7,90650,California,480100.0,8.0,2.0,1.0
8,92683,California,652400.0,8.0,2.0,3.0
9,95014,California,,8.0,2.0,1.0
10,46032,Indiana,319500.0,8.0,2.0,1.0
11,66062,Kansas,263700.0,7.0,2.0,
12,93065,California,580600.0,7.0,2.0,
13,91710,California,475500.0,7.0,2.0,4.0
14,80525,Colorado,392800.0,7.0,2.0,3.0
15,94568,California,884100.0,7.0,2.0,
16,74133,Oklahoma,181600.0,7.0,2.0,4.0
17,80016,Colorado,528900.0,7.0,2.0,2.0
18,80012,Colorado,291500.0,7.0,2.0,2.0
19,92111,California,538600.0,7.0,2.0,1.0
20,90703,California,709300.0,7.0,2.0,1.0
21,50266,Iowa,241000.0,7.0,2.0,1.0
22,19341,Pennsylvania,330700.0,7.0,2.0,1.0
23,75070,Texas,316000.0,6.0,2.0,6.0
24,92562,California,426300.0,6.0,2.0,1.0
25,55125,Minnesota,256200.0,6.0,2.0,1.0
26,79936,Texas,127900.0,5.0,2.0,1.0
27,75052,Texas,227200.0,5.0,2.0,1.0
28,43068,Ohio,174500.0,5.0,2.0,1.0
29,28273,North Carolina,215400.0,5.0,2.0,1.0
30,93612,California,218900.0,5.0,2.0,2.0
31,32904,Florida,241600.0,4.0,2.0,2.0
32,60714,Illinois,266400.0,4.0,2.0,
33,11725,New York,493400.0,4.0,2.0,
34,30062,Georgia,304000.0,3.0,2.0,
35,21061,Maryland,229300.0,3.0,2.0,2.0
36,27529,North Carolina,231600.0,3.0,2.0,4.0
37,78258,Texas,330900.0,3.0,2.0,1.0
38,78504,Texas,179100.0,3.0,2.0,2.0
39,68516,Nebraska,258800.0,3.0,2.0,3.0
40,63368,Missouri,219200.0,3.0,2.0,7.0
